"","type"
"akodon_cursor","Forest specialist"
"akodon_montensis","Generalist"
"akodon_paranaensis","Generalist"
"alouatta_belzebul","Generalist"
"alouatta_caraya","Generalist"
"alouatta_guariba_clamitans","Generalist"
"alouatta_guariba","Generalist"
"callicebus_nigrifrons","Generalist"
"callicebus_personatus","Generalist"
"callithrix_aurita","Generalist"
"callithrix_geoffroyi","Generalist"
"callithrix_jacchus","Generalist"
"callithrix_penicillata","Generalist"
"calomys_tener","Generalist"
"caluromys_philander","Forest specialist"
"cerdocyon_thous","Generalist"
"chaetomys_subspinosus","Forest specialist"
"chrysocyon_brachyurus","Generalist"
"dasypus_novemcinctus","Generalist"
"didelphis_albiventris","Generalist"
"didelphis_aurita","Forest specialist"
"euryoryzomys_russatus","Generalist"
"hydrochoerus_hydrochaeris","Forest specialist"
"leontopithecus_chrysomelas","Generalist"
"leontopithecus_rosalia","Generalist"
"leopardus_tigrinus","Forest specialist"
"lycalopex_gymnocercus","Generalist"
"lycalopex_vetulus","Forest specialist"
"metachirus_nudicaudatus","Forest specialist"
"monodelphis_domestica","Generalist"
"monodelphis_iheringi","Forest specialist"
"myocastor_coypus","Generalist"
"nasua_nasua","Forest specialist"
"necromys_lasiurus","Generalist"
"nectomys_squamipes","Generalist"
"oligoryzomys_flavescens","Generalist"
"oligoryzomys_nigripes","Generalist"
"oxymycterus_dasytrichus","Generalist"
"oxymycterus_quaestor","Forest specialist"
"panthera_onca","Forest specialist"
"procyon_cancrivorus","Generalist"
"puma_concolor","Forest specialist"
"sapajus_cay","Generalist"
"sapajus_flavius","Forest specialist"
"sapajus_libidinosus","Forest specialist"
"sapajus_nigritus","Generalist"
"sapajus_robustus","Generalist"
"sapajus_xanthosternos","Generalist"
"speothos_venaticus","Forest specialist"
"tapirus_terrestris","Forest specialist"
"thaptomys_nigrita","Generalist"
